0,61,AZ,100,Mike Kelly,MikeKellyPA
1,34,MO,200,Eric Schmitt,Eric_Schmitt
2,65,NV,100,Catherine Cortez Masto,CatherineForNV
3,47,NC,200,Ted Budd,RepTedBudd
4,24,OH,100,Tim Ryan,RepTimRyan
5,53,OK,100,Kendra Horn,RepKendraHorn
6,53,OK,200,Markwayne Mullin,RepMullin
7,72,OR,200,Jo Rae Perkins,PerkinsForUSSen
8,14,PA,100,John Fetterman,johnfetterman
9,67,UT,300,Evan McMullin,EvanMcMullin
10,67,UT,300,Tommy Williams,TexansForTommy
11,6,VT,100,Peter Welch,PeterWelch
