congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,Senate,41300,2,0,ME,328,,,"KING, Angus Stanley, Jr.",K000383,1944,,-0.161,-0.211,-22.73165,0.97229,809,6,,-0.193,-0.157
117,Senate,49703,2,0,ME,200,,,"COLLINS, Susan Margaret",C001035,1952,,0.116,-0.535,-80.56197,0.90588,815,33,,0.136,-0.499
117,Senate,15408,52,0,MD,100,,,"CARDIN, Benjamin Louis",C000141,1943,,-0.319,-0.224,-12.85747,0.98423,809,7,,-0.288,-0.324
117,Senate,20330,52,0,MD,100,,,"VAN HOLLEN, Christopher",V000128,1959,,-0.391,-0.208,-9.65894,0.98752,769,3,,-0.375,-0.089
117,Senate,14435,3,0,MA,100,,,"MARKEY, Edward John",M000133,1946,,-0.514,-0.459,-25.80348,0.96838,803,10,,-0.647,-0.562
117,Senate,41301,3,0,MA,100,,,"WARREN, Elizabeth",W000817,1949,,-0.753,-0.327,-23.89642,0.97089,809,9,,-0.667,-0.431
117,Senate,20923,23,0,MI,100,,,"PETERS, Gary C.",P000595,1958,,-0.246,-0.186,-12.90522,0.98402,801,6,,-0.277,-0.117
117,Senate,29732,23,0,MI,100,,,"STABENOW, Deborah Ann",S000770,1950,,-0.343,-0.014,-13.19022,0.98387,811,5,,-0.33,0.031
117,Senate,40700,33,0,MN,100,,,"KLOBUCHAR, Amy",K000367,1960,,-0.285,-0.367,-15.5576,0.98084,804,8,,-0.32,-0.108
117,Senate,41706,33,0,MN,100,,,"SMITH, Tina",S001203,1958,,-0.398,-0.06,-14.0378,0.98273,806,7,,-0.454,-0.063
117,Senate,29534,46,0,MS,200,,,"WICKER, Roger F.",W000437,1951,,0.377,0.352,-145.7533,0.83401,803,70,,0.384,0.345
117,Senate,41707,46,0,MS,200,,,"HYDE-SMITH, Cindy",H001079,1959,,0.435,0.395,-143.56464,0.83306,786,67,,0.455,0.379
117,Senate,29735,34,0,MO,200,,,"BLUNT, Roy",B000575,1950,,0.402,0.205,-219.59303,0.74471,745,101,,0.313,0.217
117,Senate,41901,34,0,MO,200,,,"HAWLEY, Joshua David",H001089,1979,,0.733,-0.182,-123.14394,0.85733,800,53,,0.809,-0.181
117,Senate,21338,64,0,MT,200,,,"DAINES, Steve",D000618,1962,,0.573,-0.046,-108.95153,0.86693,763,44,,0.581,0.054
117,Senate,40702,64,0,MT,100,,,"TESTER, Jon",T000464,1956,,-0.215,0.144,-37.42122,0.95501,813,15,,-0.184,0.094
117,Senate,41302,35,0,NE,200,,,"FISCHER, Debra (Deb)",F000463,1951,,0.455,0.286,-117.92547,0.86035,784,42,,0.446,0.25
117,Senate,41503,35,0,NE,200,,,"SASSE, Benjamin Eric",S001197,1972,,0.672,-0.245,-153.54239,0.82173,782,74,,0.573,-0.083
117,Senate,21743,65,0,NV,100,,,"ROSEN, Jacklyn Sheryl",R000608,1957,,-0.284,0.284,-21.27272,0.97363,796,9,,-0.257,0.188
117,Senate,41700,65,0,NV,100,,,"CORTEZ MASTO, Catherine Marie",C001113,1964,,-0.363,0.348,-28.41189,0.96553,810,12,,-0.249,0.258
117,Senate,40906,4,0,NH,100,,,"SHAHEEN, Jeanne",S001181,1947,,-0.237,-0.144,-11.77721,0.98486,772,4,,-0.232,-0.193
117,Senate,41702,4,0,NH,100,,,"HASSAN, Margaret (Maggie)",H001076,1958,,-0.231,0.016,-38.8736,0.95314,810,16,,-0.196,0.147
117,Senate,29373,12,0,NJ,100,,,"MENENDEZ, Robert",M000639,1954,,-0.367,-0.123,-22.39206,0.97205,790,8,,-0.442,-0.022
117,Senate,41308,12,0,NJ,100,,,"BOOKER, Cory Anthony",B001288,1969,,-0.585,-0.271,-21.31886,0.97347,793,8,,-0.502,-0.438
117,Senate,20930,66,0,NM,100,,,"HEINRICH, Martin",H001046,1971,,-0.33,-0.021,-16.0961,0.97993,794,7,,-0.447,0.086
117,Senate,20932,66,0,NM,100,,,"LUJÁN, Ben Ray",L000570,1972,,-0.368,0.015,-14.37391,0.98084,743,7,,-0.429,0.08
117,Senate,14858,13,0,NY,100,,,"SCHUMER, Charles Ellis (Chuck)",S000148,1950,,-0.357,-0.416,-42.57019,0.94824,801,13,,-0.255,-0.645
117,Senate,20735,13,0,NY,100,,,"GILLIBRAND, Kirsten",G000555,1966,,-0.471,-0.425,-13.74531,0.98311,807,6,,-0.384,-0.509
117,Senate,29548,47,0,NC,200,,,"BURR, Richard M.",B001135,1955,,0.436,-0.066,-193.11806,0.76587,724,92,,0.362,0.09
117,Senate,41504,47,0,NC,200,,,"TILLIS, Thomas Roland (Thom)",T000476,1960,,0.401,-0.061,-197.38205,0.77336,768,90,,0.397,-0.112
117,Senate,21350,36,0,ND,200,,,"CRAMER, Kevin",C001096,1961,,0.394,0.381,-135.73367,0.8284,721,61,,0.383,0.514
117,Senate,41107,36,0,ND,200,,,"HOEVEN, John",H001061,1957,,0.377,0.425,-123.1168,0.85535,788,52,,0.429,0.47
117,Senate,29386,24,0,OH,200,,,"PORTMAN, Robert Jones (Rob)",P000449,1955,,0.372,-0.212,-174.72937,0.79953,781,67,,0.34,-0.064
117,Senate,29389,24,0,OH,100,,,"BROWN, Sherrod",B000944,1952,,-0.428,-0.111,-11.3582,0.98604,808,5,,-0.38,-0.177
117,Senate,15424,53,0,OK,200,,,"INHOFE, James Mountain",I000024,1934,,0.554,0.044,-100.09,0.87072,723,39,,0.532,0.099
117,Senate,21166,53,0,OK,200,,,"LANKFORD, James",L000575,1968,,0.607,0.165,-85.95377,0.8992,809,33,,0.679,-0.024
117,Senate,14871,72,0,OR,100,,,"WYDEN, Ronald Lee",W000779,1949,,-0.33,-0.478,-14.81381,0.98181,807,8,,-0.34,-0.562
117,Senate,40908,72,0,OR,100,,,"MERKLEY, Jeff",M001176,1956,,-0.443,-0.733,-20.66562,0.97382,779,7,,-0.442,-0.647
117,Senate,29935,14,0,PA,200,,,"TOOMEY, Patrick Joseph",T000461,1961,,0.624,-0.361,-166.70635,0.79382,722,88,,0.601,-0.449
117,Senate,40703,14,0,PA,100,,,"CASEY, Robert (Bob), Jr.",C001070,1960,,-0.314,0.179,-20.22584,0.9751,802,8,,-0.292,0.062
117,Senate,29142,5,0,RI,100,,,"REED, John F. (Jack)",R000122,1949,,-0.367,-0.174,-10.71152,0.9869,812,4,,-0.384,-0.245
117,Senate,40704,5,0,RI,100,,,"WHITEHOUSE, Sheldon",W000802,1955,,-0.354,-0.084,-12.86906,0.98412,804,5,,-0.369,-0.188
117,Senate,21173,48,0,SC,200,,,"SCOTT, Tim",S001184,1965,,0.624,-0.019,-131.56782,0.84853,801,59,,0.6,0.007
117,Senate,29566,48,0,SC,200,,,"GRAHAM, Lindsey O.",G000359,1955,,0.378,-0.245,-223.20449,0.74021,742,135,,0.32,-0.37
117,Senate,29754,37,0,SD,200,,,"THUNE, John",T000250,1961,,0.428,0.192,-128.84842,0.85243,807,54,,0.469,0.249
117,Senate,41505,37,0,SD,200,,,"ROUNDS, Marion Michael (Mike)",R000605,1954,,0.373,0.054,-135.26605,0.8037,619,56,,0.351,0.046
117,Senate,20351,54,0,TN,200,,,"BLACKBURN, Marsha",B001243,1952,,0.627,0.152,-88.55575,0.89055,764,36,,0.672,0.201
117,Senate,42100,54,0,TN,200,,,"HAGERTY, William Francis (Bill)",H000601,1959,,0.711,-0.238,-126.70495,0.85336,799,55,,0.711,-0.239
