affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"","","",2018,N00042033,Kevin De Leon (D),Law Office of Sylvia Lopez,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
"",D000064264,"",2018,N00042033,Kevin De Leon (D),Monumental Sports & Entertainment,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
"","","",2018,N00042033,Kevin De Leon (D),Motor Vehicle Software,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
"","","",2018,N00042033,Kevin De Leon (D),Parkview Properties,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
"","","",2018,N00042033,Kevin De Leon (D),Primestar,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
"","","",2018,N00042033,Kevin De Leon (D),Roem Corp,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
"","","",2018,N00042033,Kevin De Leon (D),Rp Transport,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
"","","",2018,N00042033,Kevin De Leon (D),St Bede the Venerable,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
"","","",2018,N00042033,Kevin De Leon (D),Terradia,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
"","","",2018,N00042033,Kevin De Leon (D),Unicare,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
"","","",2018,N00042033,Kevin De Leon (D),Unicare Systems,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
"",D000069477,"",2018,N00042033,Kevin De Leon (D),Y Combinator,10800,0,10800,19,C,2019-06-10 00:00:00 +0000,1793395.57
