affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
D000026918,D000052457,"",2018,N00034580,Angus King (I),JStreetPAC,88085,0,88085,1,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000000170,"",2018,N00034580,Angus King (I),Northrop Grumman,31300,10000,41300,2,I,2019-06-10 00:00:00 +0000,5339837.71
D000020665,D000000165,"",2018,N00034580,Angus King (I),Bath Iron Works,35650,0,35650,3,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000000552,"",2018,N00034580,Angus King (I),Paloma Partners,32900,0,32900,4,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000000288,"",2018,N00034580,Angus King (I),League of Conservation Voters,21854,9999,31853,5,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000000165,"",2018,N00034580,Angus King (I),General Dynamics,21500,10000,31500,6,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000029594,"",2018,N00034580,Angus King (I),Unum Group,17286,10000,27286,7,I,2019-06-10 00:00:00 +0000,5339837.71
"","","",2018,N00034580,Angus King (I),"Bernstein, Shur et al",27025,0,27025,8,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000021935,"",2018,N00034580,Angus King (I),Cooney & Conway,27000,0,27000,9,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000025328,"",2018,N00034580,Angus King (I),Democracy Engine,22425,0,22425,10,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000069116,"",2018,N00034580,Angus King (I),Bowdoin College,20535,0,20535,11,I,2019-06-10 00:00:00 +0000,5339837.71
"","","",2018,N00034580,Angus King (I),Lee Auto Mall,18500,0,18500,12,I,2019-06-10 00:00:00 +0000,5339837.71
D000022008,D000067823,"",2018,N00034580,Angus King (I),Google Inc,8100,10000,18100,13,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000044164,"",2018,N00034580,Angus King (I),Drummond Woodsum,16950,0,16950,14,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000000062,"",2018,N00034580,Angus King (I),National Assn of Realtors,0,14716,14716,15,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000000722,"",2018,N00034580,Angus King (I),Texas Instruments,3700,10000,13700,16,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000037802,"",2018,N00034580,Angus King (I),State of Maine,13450,0,13450,17,I,2019-06-10 00:00:00 +0000,5339837.71
"","","",2018,N00034580,Angus King (I),Geiger,13400,0,13400,18,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000034811,"",2018,N00034580,Angus King (I),Jay Cashman Inc,13100,0,13100,19,I,2019-06-10 00:00:00 +0000,5339837.71
"",D000037713,"",2018,N00034580,Angus King (I),Spectrum Medical Group,12850,0,12850,20,I,2019-06-10 00:00:00 +0000,5339837.71
"","","",2018,N00041037,Eric Brakey (R),Brakey Energy,32350,0,32350,1,C,2019-06-10 00:00:00 +0000,951034.83
"",D000053957,"",2018,N00041037,Eric Brakey (R),Morning Star Co,21600,0,21600,2,C,2019-06-10 00:00:00 +0000,951034.83
"","","",2018,N00041037,Eric Brakey (R),Eric Brakey for US Senate,18800,0,18800,3,C,2019-06-10 00:00:00 +0000,951034.83
"","","",2018,N00041037,Eric Brakey (R),Advanced Nutrients,16200,0,16200,4,C,2019-06-10 00:00:00 +0000,951034.83
"","","",2018,N00041037,Eric Brakey (R),Leo Hamel Jewelers,15300,0,15300,5,C,2019-06-10 00:00:00 +0000,951034.83
"",D000043458,"",2018,N00041037,Eric Brakey (R),Buchalter Nemer,13500,0,13500,6,C,2019-06-10 00:00:00 +0000,951034.83
"","","",2018,N00041037,Eric Brakey (R),Aleph Objects,10800,0,10800,7,C,2019-06-10 00:00:00 +0000,951034.83
D000031864,D000060292,"",2018,N00041037,Eric Brakey (R),Beal Bank (Employees),10800,0,10800,7,C,2019-06-10 00:00:00 +0000,951034.83
"",D000055305,"",2018,N00041037,Eric Brakey (R),Peck Enterprises,10800,0,10800,7,C,2019-06-10 00:00:00 +0000,951034.83
D000068519,D000072415,"",2018,N00041037,Eric Brakey (R),RagingWire Enterprise Solutions,10800,0,10800,7,C,2019-06-10 00:00:00 +0000,951034.83
"",D000030211,"",2018,N00041037,Eric Brakey (R),Susquehanna International Group,10800,0,10800,7,C,2019-06-10 00:00:00 +0000,951034.83
